title,description,authors,publisher,published_date,categories,ratings_count
The Handbook of Community Practice,"Encompassing community development, organizing, planning, & social change, as well as globalisation, this book is grounded in participatory & empowerment practice. The 36 chapters assess practice, theory & research methods.","Marie Weil, Michael S. Reisch, Mary L. Ohmer",SAGE,2013,Social Science,0
Tess and the Highlander,"In 1543, on a windswept isle off of Scotland, seventeen-year-old Tess finds a young man half alive in a tidal pool while a great storm rages around them, but little does Tess know that this stranger holds the key to her mysterious past and to her heart. Original.",May Mcgoldrick,Harper Collins,2002-11,Juvenile Fiction,2.0
Beginner's Yoruba (Hippocrene Beginner's Series),"""Beginner's Yoruba"" is now available with two accompanying audio CDs. It provides an introduction to the Yoruba language, which is spoken by over 30 million people in south-western Nigeria, parts of the Benin Republic, and Togo, as well as in the diaspora populations of Brazil, Cuba, and Haiti. The 15 lessons are designed for both classroom use and self-study. Practice dialogues, combined with grammatical explanations, aid the student in understanding the basics of the language. Each lesson also",Kayode J. Fakinlede,Hippocrene Books,2005,Foreign Language Study,1.0
"A Dose of Sanity: Mind, Medicine, and Misdiagnosis","""Bravo to Dr. Sydney Walker. He has written a masterful book for current and prospective mental health consumers. Before filling a prescription for Prozac or Ritalin, make sure you get A Dose of Sanity.""--Charles B. Inlander President, People's Medical Society Has your child been labeled hyperactive? Has your parent been diagnosed with senile dementia? Did your doctor prescribe Prozac for your so-called depression? If you answered ""yes"" to any of these questions, you need A Dose of Sanity. Each ",Sydney Walker,Wiley,1997-10-16,Medical,0
King James: Believe the Hype---The LeBron James Story,"LeBron James is a six-foot-eight gift from the basketball heavens. For the past three years he was the undisputed finest high school player in America. He was the one NBA scouts drooled over, corporations dreamt of, event promoters begged for, and now NBA fans clamor after. With appearances on the cover of Sports Illustrated and features on ESPN and in newspapers across the country, never before has a high school basketball player been so highly touted or an eighteen-year-old athlete been the su",Ryan Jones,St. Martin's Griffin,2003-10-10,Sports & Recreation,1.0
Cien Aos de BOXEO (One Hundred Years of Box),,,,1864,,0
Building the timber frame house: The revival of a forgotten craft,"For centuries, post-and-beam construction has proved to be one of the most durable building techniques. It is being enthusiastically revived today not only for its sturdiness but because it can be easily insulated, it is attractive, and it offers the builder the unique satisfaction of working with timbers. Building the Timber Frame House is the most comprehensive manual available on the technique. In it you will find a short history, of timber framing and a fully illustrated discussion of the di",Tedd Benson,Simon and Schuster,1981-09-01,Architecture,1.0
"The Jaquith family in America,",,"George Oakes Jaquith, Georgetta Jaquith Walker",,1982,,0
"Eight Men And A Lady (Elizabeth Sinclair, Harlequin American Romance, No. 677)","Eight Men And A Lady by Elizabeth Sinclair released on Mar 25, 1997 is available now for purchase.",Elizabeth Sinclair,Harlequin Treasury-Harlequin American Romance 90s,1997,Fiction,0
Pyrography Designs,"This book offers 30 North American wildlife illustrations and 10 border designs to use in woodburning projects. Large ready-to-use designs are provided in both line and tonal patterns. The author includes tips on transferring patterns, plus advice on segmenting and manipulating the images to create your own custom designs.",Sue Walters,Fox Chapel Publishing Company Incorporated,2014-02-01,Art,0
"The ancient constitution and the feudal law,: A study of English historical thought in the seventeenth century",Pocock explores the relationship between the study of law and the historical outlook of seventeenth-century Englishmen.,J. G. A. Pocock,Cambridge University Press,1987-04-24,History,0
Anna Karenina. (Lernmaterialien),"De 16-jarige vrienden Red (ik-figuur), Leo, Rose en Naomi vormen samen een succesvolle band. Maar dan wordt Naomi bewusteloos uit de Theems gevist. Was het een zelfmoordpoging? Vanaf ca. 15 jaar.",Cara Delevingne,,2017-11-10,Fiction,0
Seance,"Mysterieus, duister en passioneel Londen, 19de eeuw. Dr. Francis Whitman, ooit een gevierd chemicus, wordt door een journalist gevraagd om een seance bij te wonen van het lokale fenomeen Elizabeth Archer. Zijn opdracht is om op wetenschappelijke wijze aan te tonen dat dit spirituele medium een oplichtster is. Het feit dat Miss Archer nooit in één ruimte te zien is met de geest die ze oproept en dat ze als twee druppels water op elkaar lijken, maakt het werk van Dr. Whitman aanvankelijk eenvoudig",Kevin Valgaeren,Lannoo Meulenhoff - Belgium,2016-02-13,Fiction,0
"Open marriage;: A new life style for couples,",Advocates the importance of individuality in both partners in order to develop an open relationship in marriage,"Nena O'Neill, George O'Neill",Rowman & Littlefield,1984,Family & Relationships,1.0
Victoria Magazine July 1994,"John Ruskin's 'Sesame and Lilies', first published in 1865, is a classic 19th-century statement on the natures and duties of men and women. This volume reunites the two halves of the work: 'Of Kings' Treasuries' and 'Of Queens' Gardens', along with essays placing the work in historical context.",John Ruskin,Yale University Press,2002-01-01,Literary Collections,0
The Ground and Grammar of Theology,"The futures seems to be full of promise and excitement. Certainly at no time for nearly a millenium and a half has the opportunity for genuine theology been greater, since the ground has been cleared in the remarkable way of the old dualist and atomistic modes of thought that have plagued theology for centuries. It is, therefore, up to us as theologians to develop theology on its own proper ground in this scientific context, if only because this is the kind of life and culture, and the kind of t",Thomas F. Torrance,Bloomsbury Publishing,2005-01-01,Religion,0
"Mary, Mary",,United States. Coast Guard,,1976,Merchant marine,0
No place to cry: The hurt and healing of sexual abuse,"Just as God gave Dorie Van Stone a tender heart to forgive her abusers, He also gave her the strength to reveal her past in No Place to Cry, the sequel to the best-seller Dorie: The Girl Nobody Loved. Through her candor you will gain insight into the trauma of emotional and sexual abuse.","Dorie N. Van Stone, Erwin W. Lutzer",Moody Publishers,1992-05-09,Religion,4.0
Trouble on Titan,,Alan Nourse,Ace Books,1986,Fiction,1.0
Voices from the tapes; recordings from the other world,,Peter Bander,,1973,Spiritualism,0
"Grants and Awards Available to American Writers (Grants and Awards Available to American Writers, 21st ed)",,John Morrone,,2000-08,America,0
Communicating with Orcas - The Whales' Perspective,,Mary J. Getten,Trafford Publishing,2002,Local author,1.0
Academic Freedom after September 11,This is a provocative examination of the current state of academic freedom in the United States and around the world.,"Evan Gerstmann, Matthew Justin Streb",Stanford University Press,2006,Law,0
The Impatient Gardener's Lawn Book,"Explains how to grow a green, beautiful lawn and offers advice on fertilizers, watering, and lawn diseases",Jerry Baker,"Random House Digital, Inc.",1987,Gardening,1.0
Josef Fuchs on Natural Law (Moral Traditions series),"Appointed by Pope John XXIII to the Pontifical Commission on Population, Family, and Birth, Fuchs ultimately found himself disappointed in his three years of service and spent the next thirty years exploring a broad array of issues pivotal to a reconstruction of Roman Catholic natural law theory. This is the first full-length analysis of Fuchs's efforts. Beginning historically by looking at Fuchs's writings and beliefs before the Pontifical Commission appointment, including his defense of natura",Mark Graham,Georgetown University Press,2002-10-25,Religion,0
Hidden History of the Kovno Ghetto,"Hidden History of the Kovno Ghetto brings together unique materials from Lithuania, Israel, and the United States to present a compelling and unforgettable view of Jewish life, loss, survival, and defiance during the Holocaust. This visual and documentary record is introduced by two essays that describe the German assault on Lithuania's Jewry and the Kovno Jews' resilient yet ultimately futile efforts to devise a ""normal"" world in the ghetto. The book concludes with a Kovno Ghetto survivor's per",Dennis B. Klein,,1997,"Holocaust, Jewish (1939-1945)",0
The Complete Illustrated Guide to Chinese Medicine: A Comprehensive System for Health and Fitness,"This beautifully illustrated, full-color book explains the basic principles of Chinese medicine, the causes of disharmony in the body that lead to disease and the Chinese approach to diagnosis and treatment.",Tom Williams,HarperThorsons,2003,Health & Fitness,1.0
The 3 megaton gamble,,Douglas Terman,,1978,,0
THE SECULAR CITY -SECULARIZATION AND URBANIZATION IN THEOLOGICAL PERSPECTIVE,"The study of Augustine's political teachings has suffered from a history of misreadings, both ancient and modern. It is only in recent years that the traditional lines of 'Augustinian pessimism' have been opened to question. Scholars have begun to explore the broader lines of Augustine's political thought in his letters and sermons, and thus have been able to place his classic text, The City of God, in its proper context. The essays in this volume take stock of these recent developments and revi","John Doody, Kim Paffenroth, Kevin L. Hughes",Lexington Books,2005-04-19,Religion,0
Audi Quattro: The Complete Story,"The Audi Quattro was the world's first successful four-wheel-drive rally car. It brought new standards to the sport, and inspired many others to copy it. This is the complete story.",Graham Robson,Veloce Publishing Ltd,2008-06-15,Sports & Recreation,0
Natural Wonders of the World: Converting Measurements to Metric Units (Powermath),"This book explores some of the world's most famous natural wonders, explaining measurements in the U.S. customary system and the metric system.",Kerri O'Donnell,"The Rosen Publishing Group, Inc",2004-08-01,Juvenile Nonfiction,0
The book of the lover and the beloved;,A spiritual philosophy which calls our attention to contemplate our connection with God. In this remarkable mystic work Lull shares his personal views about romance with his readers. Splendid and motivating.,"Ramon Llull, Kenneth Leech, Edgar Allison Peers",,1978,Meditations,0
Night World: Daughters Of Darkness,"""There’s something strange about the new girls in town. Briar Creek, Oregon, has never seen anything like the supernatural grace of Rowan, Kestrel, and Jade, three sisters who move into the dilapidated old house next to Mark and Mary-Lynnette Carter""--Publisher.",L.J. Smith,Simon and Schuster,2016-12-06,Juvenile Fiction,11.0
The Sunday Telegraph 3rd Book of Nonograms,,"Non Ishida, James Dalgety",Picador,1994-08-01,Games,0
America at 1750: A Social Portrait,"Demonstrates how the colonies developed into the first nation created under the influences of nationalism, modern capitalism and Protestantism.",Richard Hofstadter,Vintage,1973,History,2.0
Death Dream,"The authors probe the phenomenon of ""pre-death dreams,"" delving into culture, history, and psychology to present a multidisciplinary portrait of the visions many people have on the verge of their own deaths.","Kelly Bulkeley, Patricia Bulkley",Beacon Press,2005,"Body, Mind & Spirit",0
Information Theory in Analytical Chemistry (Chemical Analysis: A Series of Monographs on Analytical Chemistry and Its Applications),Demonstrates how the information theory approach to experimental data can be of benefit not only to analytical chemists but to all those using these techniques in the decision making process. Deals with information-theoretic fundamentals as well as with practical aspects. Discusses the system nature of analysis which is of particular importance in multicomponent analysis.,"Karel Eckschlager, Klaus Danzer",John Wiley & Sons,1994-06-14,Science,0
Alternative Chicago: Unique Destinations Beyond the Magnificent Mile,"""""Alternative Chicago"""" is for the young-at-heart, adventurous, or slightly offbeat Chicago visitor who wants to see more of the city than the homogenous Michigan Avenue shopping district.",Bill Franz,Cumberland House Publishing,2004-03-01,History,0
Sleeping Boy,,L. V. H. Crosby,,1853,,0
The Civil War Recollections of General Ellis Spear,,Ellis Spear,,1997,History,0
Handbook of Environmental and Resource Economics,"This major reference book comprises specially commissioned surveys in environmental and resource economics written by an international team of experts. Authoritative yet accessible, each entry provides a state-of-the-art summary of key areas that will be invaluable to researchers, practitioners and advanced students.",Jeroen C. J. M. Van den Bergh,Edward Elgar Publishing,2002-01-01,Business & Economics,0
The Food Of Love,"Een heerlijke roman over culinaire verleiding Zijn Italiaanse mannen echt zulke goede minnaars? De Amerikaanse Laura, studente kunstgeschiedenis in Roma, heeft andere ervaringen. Een vriendin suggereert dat ze op zoek moet gaan naar een chef-kok; een man die goed kan koken zal ongetwijfeld ook een goede minnaar zijn. Laura ontmoet de onweerstaanbare Tomasso, die bij het exclusieve restaurant Templi werkt. Tomasso verzwijgt echter dat hij slechts ober is – en dat de verlegen Bruno de chef-kok is ",Anthony Capella,Boekerij,2013-12-17,Fiction,0
Perry Mason in the Case of Too Many Murders,"A Los Angeles businessman kills his dinner companion and is himself murdered minutes later, leaving his estranged wife, the prime suspect in the case, to contact Perry Mason for help",Thomas Chastain,Avon Books,1990-07,Fiction,2.0
Information Breakthrough (Psi Successful Business Library),Demonstrates how to develop specific measures of business performance by extracting relevant information out of endless amounts of data,Charles J. Bodenstab,Hellgate Press,1997-01-01,Computers,0
Foreignisms: A dictionary of foreign expressions commonly (and not so commonly) used in English,"With more than 1,000 entries, a guide to pronunciation, examples and guidance on use in writing and speaking, Foreignisms not only educates and entertains but helps one incorporate les mots justes into conversation.",Tad Tuleja,New York : Macmillan ; London : Collier Macmillan,1989,English language,0
How to Discipline Kids without Losing Their Love and Respect,"Imagine... No More Arguing. Imagine... No More Manipulation. Imagine... Stess Free Parenting. For over fifty years, Jim Fay has worked with schools, families, and children in the areas of teaching, parenting and discipline. In 1977, along with internationally renowned psychiatrist Dr. Foster W. Cline, he founded the Love and Logic Institute, Inc. which is dedicated to helping parents and educators create responsible kids. We know you will enjoy this book by beloved storyteller and parenting expe",Jim Fay,Love & Logic Press,2004-01-01,Family & Relationships,1.0
Dinner At Antoine's,,Frances Parkinson Keyes,,1968,,0
The Faces of Homoeopathy,"After being out of print for a number of years, Julian Winston's The Faces of Homoeopathy,one of the best historical books dealing with homeopathy in the United States, is now back in print.Last published in 1999, Jay Yasgur and Linda Lillard have republished this important referencein paperback. It provides an understanding and perspective of the development of homeopathyfrom the early 19th Century through the 20th. Winston's narrative is brought to life through 137biographies of those who cont",Julian Winston,,2020-11,,0
HTML: The Complete Reference,"The Definitive Guide to HTML and CSS--Fully Updated Written by a Web development expert, the fifth edition of this trusted resource has been thoroughly revised and reorganized to address HTML5, the revolutionary new Web standard. The book covers all the elements supported in today's Web browsers--from the standard (X)HTML tags to the archaic and proprietary tags that may be encountered. HTML and CSS: The Complete Reference, Fifth Edition contains full details on CSS 2.1 as well as every propriet",Thomas Powell,,2010,,0
The Cosmic Decoy (Perry Rhodan #21),,"K. H. Scheer, Wendayne Ackerman, F. J. Ackerman",,1977,,0
Cinema and Soviet Society; From the Revolution To the Death of Stalin.,"The story of Soviet film over the period covered by Peter Kenez is central to the history of World Cinema. In this revised, updated paperback edition of his classic text, Peter Kenez explores the roots of Soviet cinema in the film heritage of pre-Revolutionary Russia, tracing the changes in content, style, technical means and production capacities generated by the Revolution of 1917; the constraints on form and subject imposed from the 1930s in the name of Socialist Realism; the relative freedom",Peter Kenez,I.B. Tauris,2000-12-15,Performing Arts,0
Behind the Moon,"In the fishing village where he lives, David sits alone by the shore at night, watching the path of light that stretches across the sea until it almost touches the moon. Wondering, where does it go? Then one day he hears a voice of the Moon-Angel. Why not try the moon-path tonight? As David will discover, the path leads to a magical world behind the moon.",,,1895,Adventure stories,3.0
Bruce Lee: The Incomparable Fighter,"Get to know the true Bruce Lee through the eyes of his friend, M. Uyehara. Pound for pound, he may have been the greatest fighter who ever lived. Read about his good and bad times, his dreams and destiny shattered by his early death.",M. Uyehara,Black Belt Communications,1988,Biography & Autobiography,2.0
Jimmy Jam Germ And the Happy Handshake (The Adventures of Thumbs Up Johnnie),Thumbs up Johnnie visits all his favorite places on Lone Star Row and meets Jimmy Jam Germ who teaches everyone about washing their hands to prevent germs from spreading.,Michelle Bain,,2007-03-01,Juvenile Fiction,0
Woburn: Forgotten Tales & Untold Stories,,,,2004-01-01,Woburn (Mass.),0
"God was in this place & I, i did not know: Finding self, spirituality, and ultimate meaning","God encourages us in his Word to give thanks in all things at all times. That’s not a mistake. When we choose to focus on things we are grateful for, we become happier people. Our satisfaction in life increases. Comparisons cease. Unnecessary pursuits pause. And we begin to notice the little things. The things that matter. Life. Breath. Connection. Kindness. Beauty. This is where we find God—our true happy place. As you reflect on these devotional entries, Scriptures, and prayers, refocus your p",BroadStreet Publishing Group LLC,BroadStreet Publishing Group LLC,2021-04-06,Religion,0
